objectid,settlementId,settlementNameHeb,settlementNameEng,streetCode,streetNameHeb,streetNameEng,houseNum,floorNo,assetArea,dealAmount,dealId,propertyTypeDescription,dealNatureDescription,assetRoomNum,neighborhood,dealDate,gushNum,parcelNum,subParcelNum,polygonId,sourceorder,E,N,X,Y
2057464,6200,בת ים,Bat Yam,62000538.04995693,"כ""ט בנובמבר",Kaf Tet BeNovember,21.118001722652885,ראשונה,537,27063000,5906756400,קרקע,מגורים,0.0,דרום-מערב,2018-05-27T00:00:00.000Z,7138,174,1,7138-174,1.0,34.738951,32.01437,175476.84,658006.57
2059754,6200,בת ים,Bat Yam,62000538.04995693,"כ""ט בנובמבר",Kaf Tet BeNovember,21.118001722652885,שבע עשרה,50,724000,5102195400,דירה,דירה בבית קומות,2.0,דרום-מערב,2002-03-04T00:00:00.000Z,7139,255,1,7139-255,1.0,34.739099,32.01876,175492.92,658493.32
2035520,6200,בת ים,Bat Yam,62000607.0,העמל,Ha'Amal,12.0,ראשונה,1686,86000000,5662369050,בנין,משרד,3.2533998186763373,אזור תעשיה,2013-12-15T00:00:00.000Z,7122,87,2,52247627,1.0,34.745088,32.005724,176052.59,657045.33
2035519,6200,בת ים,Bat Yam,62000607.0,העמל,Ha'Amal,12.0,ראשונה,1,57999000,5611263150,בנין,מלאכה,3.2533998186763373,אזור תעשיה,2012-10-23T00:00:00.000Z,7122,87,1,52247627,1.0,34.745088,32.005724,176052.59,657045.33
2035742,6200,בת ים,Bat Yam,62000607.0,העמל,Ha'Amal,7.0,ראשונה,330,7300000,6154534900,בנין,משרד,3.2533998186763373,אזור תעשיה,2023-03-30T00:00:00.000Z,7123,123,3,52476028,2.0,34.744519,32.007201,175999.52,657209.35
2035476,6200,בת ים,BAT YAM,62000607.0,העמל,Ha'Amal,10.0,שניה,1,300000,6115155000,בנין,משרד,3.2533998186763373,אזור תעשיה,2022-11-08T00:00:00.000Z,7122,58,11,52535844,2.0,34.744724,32.006584,176018.6,657140.84
2035761,6200,בת ים,BAT YAM,62000607.0,העמל,Ha'Amal,19.0,ראשונה,426,710000,5861160300,בנין,מלאכה,3.2533998186763373,אזור תעשיה,2017-08-30T00:00:00.000Z,7123,155,1,52204796,2.0,34.747977,32.005816,176325.62,657054.38
2035741,6200,בת ים,Bat Yam,62000607.0,העמל,Ha'Amal,7.0,ראשונה,330,1000000,5811743650,בנין,תעשיה,3.2533998186763373,אזור תעשיה,2016-10-20T00:00:00.000Z,7123,123,2,52476028,2.0,34.744519,32.007201,175999.52,657209.35
2035740,6200,בת ים,Bat Yam,62000607.0,העמל,Ha'Amal,7.0,ראשונה,330,2900000,5810844400,בנין,תעשיה,3.2533998186763373,אזור תעשיה,2016-08-15T00:00:00.000Z,7123,123,1,52476028,2.0,34.744519,32.007201,175999.52,657209.35
2035762,6200,בת ים,BAT YAM,62000607.0,העמל,Ha'Amal,19.0,ראשונה,217,1325000,5758145050,בנין,מלאכה,3.2533998186763373,אזור תעשיה,2015-07-01T00:00:00.000Z,7123,155,2,52204796,2.0,34.747977,32.005816,176325.62,657054.38
2036039,6200,בת ים,Bat Yam,62000607.0,העמל,Ha'Amal,15.0,ראשונה,1,27999000,5650744000,בנין,מלאכה,3.2533998186763373,אזור תעשיה,2012-12-12T00:00:00.000Z,7123,204,1,53335824,2.0,34.746156,32.00672,176153.97,657155.35
2035484,6200,בת ים,BAT YAM,62000607.0,העמל,Ha'Amal,10.0,ראשונה,93,410000,5601226700,בנין,תעשיה,3.2533998186763373,אזור תעשיה,2012-02-09T00:00:00.000Z,7122,58,7,52535844,2.0,34.744724,32.006584,176018.6,657140.84
2035478,6200,בת ים,BAT YAM,62000607.0,העמל,Ha'Amal,10.0,שניה,151,626000,5601225000,בנין,תעשיה,3.2533998186763373,אזור תעשיה,2012-02-09T00:00:00.000Z,7122,58,12,52535844,2.0,34.744724,32.006584,176018.6,657140.84
2035475,6200,בת ים,BAT YAM,62000607.0,העמל,Ha'Amal,10.0,שניה,304,900000,5558445500,בנין,מלאכה,3.2533998186763373,אזור תעשיה,2011-08-04T00:00:00.000Z,7122,58,10,52535844,2.0,34.744724,32.006584,176018.6,657140.84
2035477,6200,בת ים,BAT YAM,62000607.0,העמל,Ha'Amal,10.0,שניה,90,230000,5509820850,בנין,תעשיה,3.2533998186763373,אזור תעשיה,2010-09-06T00:00:00.000Z,7122,58,11,52535844,2.0,34.744724,32.006584,176018.6,657140.84
2035481,6200,בת ים,BAT YAM,62000607.0,העמל,Ha'Amal,10.0,ראשונה,59,150000,5507355650,בנין,משרד,3.2533998186763373,אזור תעשיה,2010-07-08T00:00:00.000Z,7122,58,5,52535844,2.0,34.744724,32.006584,176018.6,657140.84
