settlementNameHeb,neighborhood,streetNameHeb,houseNum,dealAmount,assetArea,assetRoomNum,floor_num,deal_year,deal_month,X,Y,E,N,socio_index_avg,socio_rank_avg
ראשון לציון,נווה חוף,,,671000,78,4.0,3.0,2004,2,175522.62,655997.56,34.739527,31.996255,0.763,1102.0
בת ים,אזור תעשיה,האורגים,12.0,300000,60,3.0,4.0,2025,7,176018.48,657489.49,34.744707,32.009728,-0.115,605.6
בת ים,אזור תעשיה,האורגים,12.0,1760000,55,3.0,3.0,2025,6,176018.48,657489.49,34.744707,32.009728,-0.115,605.6
בת ים,אזור תעשיה,האורגים,12.0,1230000,50,3.0,3.0,2021,2,176018.48,657489.49,34.744707,32.009728,-0.115,605.6
בת ים,אזור תעשיה,האורגים,12.0,994000,66,3.0,3.0,2019,12,176018.48,657489.49,34.744707,32.009728,-0.115,605.6
בת ים,אזור תעשיה,האורגים,12.0,388000,65,3.0,5.0,2014,12,176018.48,657489.49,34.744707,32.009728,-0.115,605.6
בת ים,אזור תעשיה,האורגים,12.0,650000,49,3.0,4.0,2010,3,176018.48,657489.49,34.744707,32.009728,-0.115,605.6
בת ים,אזור תעשיה,האורגים,12.0,119000,65,3.0,3.0,2010,1,176018.48,657489.49,34.744707,32.009728,-0.115,605.6
בת ים,אזור תעשיה,האורגים,12.0,570000,49,3.0,3.0,2009,4,176018.48,657489.49,34.744707,32.009728,-0.115,605.6
בת ים,אזור תעשיה,האורגים,12.0,132000,65,3.0,5.0,2007,6,176018.48,657489.49,34.744707,32.009728,-0.115,605.6
בת ים,אזור תעשיה,האורגים,12.0,342000,49,3.0,3.0,2006,5,176018.48,657489.49,34.744707,32.009728,-0.115,605.6
בת ים,אזור תעשיה,האורגים,2.0,1500000,59,2.0,4.0,2025,7,176130.14,657617.87,34.745883,32.01089,-0.115,605.6
בת ים,אזור תעשיה,האורגים,2.0,200000,45,2.0,3.0,2025,2,176130.14,657617.87,34.745883,32.01089,-0.115,605.6
בת ים,אזור תעשיה,האורגים,8.0,2560000,93,4.0,0.0,2024,12,176058.41,657524.25,34.745128,32.010043,-0.115,605.6
בת ים,אזור תעשיה,האורגים,6.0,2039000,86,4.0,5.0,2024,10,176081.19,657572.39,34.745367,32.010478,-0.115,605.6
בת ים,אזור תעשיה,האורגים,2.0,1490000,41,2.5,4.0,2024,10,176130.14,657617.87,34.745883,32.01089,-0.115,605.6
בת ים,אזור תעשיה,האורגים,24.0,1800000,58,3.0,4.0,2024,7,175896.21,657311.58,34.743421,32.008119,-0.115,605.6
בת ים,אזור תעשיה,האורגים,10.0,2080000,72,3.0,4.0,2024,4,176043.09,657499.7,34.744967,32.009821,-0.115,605.6
בת ים,אזור תעשיה,האורגים,24.0,2050000,62,3.0,3.0,2024,3,175896.21,657311.58,34.743421,32.008119,-0.115,605.6
בת ים,אזור תעשיה,האורגים,6.0,2200000,85,4.0,6.0,2024,2,176081.19,657572.39,34.745367,32.010478,-0.115,605.6
בת ים,אזור תעשיה,האורגים,16.0,2200000,88,4.0,6.0,2024,2,175976.45,657405.83,34.744266,32.008972,-0.115,605.6
בת ים,אזור תעשיה,האורגים,2.0,1368600,45,2.0,1.0,2023,12,176130.14,657617.87,34.745883,32.01089,-0.115,605.6
בת ים,אזור תעשיה,האורגים,4.0,1411000,64,2.0,4.0,2023,9,176105.27,657590.48,34.745621,32.010642,-0.115,605.6
בת ים,אזור תעשיה,האורגים,16.0,2330000,103,5.0,5.0,2023,8,175976.45,657405.83,34.744266,32.008972,-0.115,605.6
בת ים,אזור תעשיה,האורגים,6.0,2400000,115,5.0,7.0,2023,3,176081.19,657572.39,34.745367,32.010478,-0.115,605.6
בת ים,אזור תעשיה,האורגים,16.0,2975000,91,4.0,7.0,2022,11,175976.45,657405.83,34.744266,32.008972,-0.115,605.6
בת ים,אזור תעשיה,האורגים,6.0,2320000,91,4.0,8.0,2022,11,176081.19,657572.39,34.745367,32.010478,-0.115,605.6
בת ים,אזור תעשיה,האורגים,4.0,1555000,59,2.0,4.0,2022,11,176105.27,657590.48,34.745621,32.010642,-0.115,605.6
בת ים,אזור תעשיה,האורגים,8.0,2180000,99,4.0,0.0,2022,6,176058.41,657524.25,34.745128,32.010043,-0.115,605.6
בת ים,אזור תעשיה,האורגים,18.0,1720000,77,4.0,3.0,2022,5,175958.98,657384.06,34.744082,32.008775,-0.115,605.6
בת ים,אזור תעשיה,האורגים,2.0,1385000,41,2.0,3.0,2022,5,176130.14,657617.87,34.745883,32.01089,-0.115,605.6
בת ים,אזור תעשיה,האורגים,24.0,1830000,77,3.0,3.0,2022,4,175896.21,657311.58,34.743421,32.008119,-0.115,605.6
בת ים,אזור תעשיה,האורגים,4.0,1375000,77,2.0,1.0,2022,2,176105.27,657590.48,34.745621,32.010642,-0.115,605.6
בת ים,אזור תעשיה,האורגים,10.0,1480000,72,3.0,3.0,2021,11,176043.09,657499.7,34.744967,32.009821,-0.115,605.6
בת ים,אזור תעשיה,האורגים,8.0,1590000,72,3.0,4.0,2021,8,176058.41,657524.25,34.745128,32.010043,-0.115,605.6
בת ים,אזור תעשיה,האורגים,2.0,1200000,50,2.0,1.0,2021,7,176130.14,657617.87,34.745883,32.01089,-0.115,605.6
בת ים,אזור תעשיה,האורגים,16.0,2100000,97,4.0,4.0,2021,5,175976.45,657405.83,34.744266,32.008972,-0.115,605.6
בת ים,אזור תעשיה,האורגים,4.0,1060000,59,2.0,4.0,2021,4,176105.27,657590.48,34.745621,32.010642,-0.115,605.6
בת ים,אזור תעשיה,האורגים,10.0,2000000,72,3.0,3.0,2021,4,176043.09,657499.7,34.744967,32.009821,-0.115,605.6
בת ים,אזור תעשיה,האורגים,8.0,1799000,91,3.0,3.0,2021,4,176058.41,657524.25,34.745128,32.010043,-0.115,605.6
בת ים,אזור תעשיה,האורגים,10.0,1799000,91,4.0,3.0,2021,4,176043.09,657499.7,34.744967,32.009821,-0.115,605.6
בת ים,אזור תעשיה,האורגים,4.0,1100000,84,2.0,3.0,2021,3,176105.27,657590.48,34.745621,32.010642,-0.115,605.6
בת ים,אזור תעשיה,האורגים,18.0,2530000,135,5.0,3.0,2021,2,175958.98,657384.06,34.744082,32.008775,-0.115,605.6
בת ים,אזור תעשיה,האורגים,18.0,670000,64,3.0,1.0,2021,1,175958.98,657384.06,34.744082,32.008775,-0.115,605.6
בת ים,אזור תעשיה,האורגים,6.0,2600000,90,4.0,8.0,2020,12,176081.19,657572.39,34.745367,32.010478,-0.115,605.6
בת ים,אזור תעשיה,האורגים,2.0,600000,42,2.5,1.0,2020,4,176130.14,657617.87,34.745883,32.01089,-0.115,605.6
בת ים,אזור תעשיה,האורגים,10.0,1760000,98,4.0,3.0,2020,3,176043.09,657499.7,34.744967,32.009821,-0.115,605.6
בת ים,אזור תעשיה,האורגים,2.0,1200000,47,2.0,4.0,2020,3,176130.14,657617.87,34.745883,32.01089,-0.115,605.6
בת ים,אזור תעשיה,האורגים,24.0,1340000,72,3.0,3.0,2020,2,175896.21,657311.58,34.743421,32.008119,-0.115,605.6
בת ים,אזור תעשיה,האורגים,8.0,1330000,52,3.0,3.0,2019,10,176058.41,657524.25,34.745128,32.010043,-0.115,605.6
בת ים,אזור תעשיה,האורגים,24.0,580000,58,3.0,3.0,2019,6,175896.21,657311.58,34.743421,32.008119,-0.115,605.6
בת ים,אזור תעשיה,האורגים,6.0,2300000,120,5.0,7.0,2019,4,176081.19,657572.39,34.745367,32.010478,-0.115,605.6
בת ים,אזור תעשיה,האורגים,8.0,2600000,93,3.0,3.0,2018,11,176058.41,657524.25,34.745128,32.010043,-0.115,605.6
בת ים,אזור תעשיה,האורגים,16.0,2179000,89,4.0,7.0,2018,10,175976.45,657405.83,34.744266,32.008972,-0.115,605.6
בת ים,אזור תעשיה,האורגים,18.0,2450000,135,5.0,3.0,2018,9,175958.98,657384.06,34.744082,32.008775,-0.115,605.6
בת ים,אזור תעשיה,האורגים,2.0,1300000,42,2.0,3.0,2018,8,176130.14,657617.87,34.745883,32.01089,-0.115,605.6
בת ים,אזור תעשיה,האורגים,8.0,473000,76,3.0,4.0,2018,8,176058.41,657524.25,34.745128,32.010043,-0.115,605.6
בת ים,אזור תעשיה,האורגים,2.0,1200000,39,2.0,3.0,2018,2,176130.14,657617.87,34.745883,32.01089,-0.115,605.6
בת ים,אזור תעשיה,האורגים,6.0,2500000,120,5.0,7.0,2017,11,176081.19,657572.39,34.745367,32.010478,-0.115,605.6
בת ים,אזור תעשיה,האורגים,24.0,1320000,72,2.5,3.0,2017,11,175896.21,657311.58,34.743421,32.008119,-0.115,605.6
בת ים,אזור תעשיה,האורגים,24.0,1250000,58,3.0,3.0,2017,10,175896.21,657311.58,34.743421,32.008119,-0.115,605.6
בת ים,אזור תעשיה,האורגים,16.0,1500000,100,3.0,1.0,2017,8,175976.45,657405.83,34.744266,32.008972,-0.115,605.6
בת ים,אזור תעשיה,האורגים,2.0,1000000,45,2.5,3.0,2017,6,176130.14,657617.87,34.745883,32.01089,-0.115,605.6
בת ים,אזור תעשיה,האורגים,2.0,1050000,41,2.5,4.0,2017,5,176130.14,657617.87,34.745883,32.01089,-0.115,605.6
בת ים,אזור תעשיה,האורגים,16.0,1750000,105,5.0,5.0,2017,5,175976.45,657405.83,34.744266,32.008972,-0.115,605.6
בת ים,אזור תעשיה,האורגים,16.0,1799000,103,5.0,5.0,2017,3,175976.45,657405.83,34.744266,32.008972,-0.115,605.6
בת ים,אזור תעשיה,האורגים,6.0,3300000,127,5.0,7.0,2017,2,176081.19,657572.39,34.745367,32.010478,-0.115,605.6
בת ים,אזור תעשיה,האורגים,16.0,1720000,88,4.0,6.0,2016,11,175976.45,657405.83,34.744266,32.008972,-0.115,605.6
בת ים,אזור תעשיה,האורגים,16.0,616000,39,3.0,7.0,2016,11,175976.45,657405.83,34.744266,32.008972,-0.115,605.6
בת ים,אזור תעשיה,האורגים,6.0,500000,49,3.0,5.0,2016,10,176081.19,657572.39,34.745367,32.010478,-0.115,605.6
בת ים,אזור תעשיה,האורגים,4.0,1013000,42,2.0,4.0,2016,9,176105.27,657590.48,34.745621,32.010642,-0.115,605.6
